BUTY OTAKI-BLUE-FLAME,"639,99",0 of 100,Oceń ten produkt jako pierwszy,,2025-07-14,"Specyfikacja    Materiał  mikrofibra, zamsz    Waga  270 (½ pary)    Kolor  Niebieski"
BUTY MIURA VS-BLACK-YELLOW,"624,99",0 of 100,Oceń ten produkt jako pierwszy,"38,5 39,5 40,5 41,5 42,5 43,5 36 37 38 39 40 41 42",2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowapodeszwa: Vibram® XS Edge, 4 mm    Waga  470 g (rozm. 39)    Kolor  Zółty"
BUTY KATANA LACES-YELLOW-BLACK,"639,59",0 of 100,Oceń ten produkt jako pierwszy,,2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowa, mikrofibra podeszwa środkowa: : LaSpoFlex 1,1 mm połączona z P3 System  podeszwa: Vibram® XS Edge 4 mm    Waga  250 g (½ pary)    Kolor  Zółty"
BUTY MIURA-LIME,"579,99",0 of 100,Oceń ten produkt jako pierwszy,"36,5 37,5 38,5 39,5 40,5 42,5 43,5 44,5 36 37 38 39 40 41 42 43 44",2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowa, mikrofibra (język), gumawyściółka: Dentexśródpodeszwa: LaSpo Flex 1,1 mmpodeszwa: Vibram® XS Edge, 4 mm    Waga  490 g (para)    Kolor  Zółty"
BUTY SOLUTION-WHITE-YELLOW,"699,99",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 40,5 37 38 39 40",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra zamszowa, mikrofibraPodeszwa: Vibram® XS Grip2, 3,5 mm    Waga (g)  510  (para)    Kolor  Zółty"
BUTY SOLUTION COMP-BLACK-YELLOW,"689,99",0 of 100,Oceń ten produkt jako pierwszy,"40,5 37 40",2025-07-14,"Specyfikacja    Materiał  Mikrofibra, zamsz    Waga  ok. 240 g (½ pary)    Kolor  Zółty"
BUTY THEORY-YELLOW-BLACK,"679,99",0 of 100,Oceń ten produkt jako pierwszy,"39,5 42,5 38 39 40 43",2025-07-14,Specyfikacja    Waga (g)  200 (½ pary)    Kolor  Zółty
BUTY PUEZ LEATHER MID PTX-BUNGEE CORD-ONYX,"791,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7 (40,5) UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46) UK 11,5 (46,5) UK 12 (47) UK 13 (48,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra nubukowa 1,6-1,8 mm, poliamid, poliuretanMembrana: Powertex bez PFCWkładka: CFFPodeszwa zewnętrzna: Pomoca Alpine Trekker    Waga (g)  510 (½ pary rozm. 8 UK)    Kolor  Beżowy"
BUTY PUEZ LEATHER MID PTX-SHADOW-DARK OLIVE,"791,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 7 (40,5) UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46) UK 11,5 (46,5) UK 12 (47) UK 13 (48,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra nubukowa 1,6-1,8 mm, poliamid, poliuretanMembrana: Powertex bez PFCWkładka: CFFPodeszwa zewnętrzna: Pomoca Alpine Trekker    Waga (g)  510 (½ pary rozm. 8 UK)    Kolor  Zielony"
BUTY WILDFIRE NXT-QUICKSAND-DARK OLIVE,"688,49",0 of 100,Oceń ten produkt jako pierwszy,"UK 7 (40,5) UK 7,5 (41) UK 8 (42) UK 8,5 (42,5) UK 9 (43) UK 9,5 (44) UK 10 (44,5) UK 10,5 (45) UK 11 (46) UK 12 (47)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuWkładka: CFF ProPodeszwa: Vibram All-Terrain Megagrip    Wyściółka  N.d.    Waga (g)  345 (½ pary rozm. 8 UK)    Kolor  Beżowy"
