BUTY MIURA VS WOMEN-WHITE-CHERRY TOMATO,"631,99",0 of 100,Oceń ten produkt jako pierwszy,,2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowawyściółka: Pacificśródpodeszwa: LaSpoFlex 1,1 mm (na przedzie, współpracująca z systemem P3)podeszwa: Vibram XS Grip2 3,5 mm    Waga  440 g (para, rozm. 37)    Kolor  Czerwony"
BUTY MIURA VS-BLACK-YELLOW,"624,99",0 of 100,Oceń ten produkt jako pierwszy,"38,5 39,5 40,5 41,5 42,5 43,5 36 37 38 39 40 41 42",2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowapodeszwa: Vibram® XS Edge, 4 mm    Waga  470 g (rozm. 39)    Kolor  Zółty"
BUTY KATANA LACES-YELLOW-BLACK,"639,59",0 of 100,Oceń ten produkt jako pierwszy,,2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowa, mikrofibra podeszwa środkowa: : LaSpoFlex 1,1 mm połączona z P3 System  podeszwa: Vibram® XS Edge 4 mm    Waga  250 g (½ pary)    Kolor  Zółty"
BUTY MIURA WOMEN-WHITE-JADE GREEN,"628,99",0 of 100,Oceń ten produkt jako pierwszy,"35,5 36,5 37,5 35 38",2025-07-14,"Specyfikacja    Materiał    Cholewka: skóra zamszowaPodeszwa: Vibram XS Edge2, 4 mm    Waga (g)  440 (rozm. 37)    Kolor  Biały"
BUTY SOLUTION WOMEN-WHITE-LILY ORANGE,"634,99",0 of 100,Oceń ten produkt jako pierwszy,"34,5 35,5 37,5 38,5 35 36 37",2025-07-14,"Specyfikacja    Materiał  cholewka: skóra zamszowa, Lorica®podeszwa: Vibram® XS Grip2 3,5 mm    Waga  400 g (para, rozm. 37)    Kolor  Pomarańczowy"
BUTY SOLUTION-WHITE-YELLOW,"699,99",0 of 100,Oceń ten produkt jako pierwszy,"37,5 38,5 39,5 40,5 37 38 39 40",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra zamszowa, mikrofibraPodeszwa: Vibram® XS Grip2, 3,5 mm    Waga (g)  510  (para)    Kolor  Zółty"
BUTY THEORY-YELLOW-BLACK,"679,99",0 of 100,Oceń ten produkt jako pierwszy,"39,5 42,5 38 39 40 43",2025-07-14,Specyfikacja    Waga (g)  200 (½ pary)    Kolor  Zółty
BUTY PUEZ LEATHER MID PTX WOMEN-QUICKSAND-ONYX,"791,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra nubukowa 1,6-1,8 mm, poliamid, poliuretanMembrana: Powertex bez PFCWkładka: CFFPodeszwa zewnętrzna: Pomoca Alpine Trekker    Waga (g)  435 (½ pary rozm. 5 UK)    Kolor  Beżowy"
BUTY PUEZ LEATHER MID PTX WOMEN-BUNGEE CORD-ONYX,"791,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5)",2025-07-14,"Specyfikacja    Materiał  Cholewka: skóra nubukowa 1,6-1,8 mm, poliamid, poliuretanMembrana: Powertex bez PFCWkładka: CFFPodeszwa zewnętrzna: Pomoca Alpine Trekker    Waga (g)  435 (½ pary rozm. 5 UK)    Kolor  Beżowy"
BUTY WILDFIRE NXT WOMEN-ONYX-MORNING BLUE,"647,99",0 of 100,Oceń ten produkt jako pierwszy,"UK 4,5 (37) UK 5 (38) UK 5,5 (38,5) UK 6 (39) UK 6,5 (40) UK 7 (40,5) UK 7,5 (41)",2025-07-14,"Specyfikacja    Materiał  Cholewka: Matryx (Nylon o wysokiej wytrzymałości), polietylen, rant z termoplastycznego poliuretanuWkładka: CFF Pro Podeszwa: Vibram All-Terrain Megagrip    Waga (g)  295 (½ pary rozm. 5 UK)    Kolor  Szary"
